store_id,store_grade,store_name,member_id ,member_name,order_count,score,phone,store_qq,store_email,store_address,page
422145,3332,花精灵鲜花官方店,168892,SH2018,955,5,13817938173、13761615116,363672770,10190897@qq.com,上海市嘉定区玉麦路388号莱英北郡,1
306114,332,欣然花店,31099,欣然花店,5267,5,13714465982、13418629580,2977429949,582358195@qq.com,民治街道中环路（原联丰表壳厂）F栋2楼203,1
297540,22,蝶恋鲜花店,1538,深圳蝶恋鲜花,482,5,13316853961,758942756,758942756@qq.com,福安街72号,1
332618,33,杭州123,62058,杭州123,20310,5,17767156521,2170835275,2170835275@qq.com,凤起东路,1
205867,3311,漳州美阁花店,22695,漳州美阁花店,1980,5,18759661722、15606055588,754328968,754328968@qq.com,苍园路18-3号,1
277865,33311,桐乡浪漫花坊鲜花总店,20705,浪漫花坊,198,5,13819030623,393023393,393023393@qq.com,中山东路655号 新世纪公园对面往西200米,1
215933,332211,楚楚花坊,13339,楚楚花坊,259,5,15321571049、4000571314,2248805355,930916331@qq.com,南四环中路256号,1
300005,332111,天津花儿时间鲜花店,23661,天津花娃鲜花店,66,5,13821616272、18698067679,58694089,iiflowertime@qq.com,广开三马路与广开南街交口,1
231945,3321,苏州吴江好运花店,22194,吴江好运花店,881,5,15365363663,505201000,505201000@qq.com,苏州市吴江区木浪路339号木浪托儿所好运花屋,1
310726,3321,甬城花店,39469,甬城花店,140,5,15867831704,1218952556,1218952556@qq.com,宁波市鄞州区桃源街335号,1
380905,31,静萱花语,111056,静萱花语鲜花店,5261,5,13671900041、13671900041,161766962,161766962@qq.com,上海市浦东新区浦建路620号（靠近陆家嘴）,14
421270,31,深圳花满楼龙华龙岗店,167116,深圳花满楼龙岗龙华店,3715,5,13480649105、13352966439,54833661,28988056@qq.com,龙岗区坂田黄金山6巷13-14号,14
419197,3,红红鲜花屋,161427,迷妮魅花屋,4921,5,13126832905、18201517873,959724443,250030186@qq.com,玉阁胡同3号,14
209636,31,爱花居上海市柳埠路店,22648,浦东百合鲜花,3308,5,18301992669,976826607,1025077491@qq.com,浦东金桥牟平路139号,14
301696,31,爱花居长沙市人民路店,25738,紫蝶花艺,4323,5,13367496948,392635064,392635064@qq.com,长沙市雨花区人民中路46号,14
421132,31,芬儿花品行花店,163515,芬儿花品行分部,5003,5,15957110161、18268126386,877101029,516440851@qq.com,文晖路284号,14
304118,31,爱丽诗花店,28509,爱丽诗花店,3847,5,18929211863,2485937599,1099001299@qq.com,东莞市，莞城区南阳一路,14
420523,31,520鲜花花坊,165272,520鲜花花坊,3589,5,18513878583,2787464943,2787464943@qq.com,北京市朝阳区星河双语金盏校区西侧金盏文化广场,14
268003,3,珠海百花园,22731,珠海百花园,2775,5,13392533375、13392533375,595240106,609256917@qq.com,光明街63号33333323,14
282317,31,青岛皇家鲜花店,16102,青岛皇家鲜花,3519,5,13061203576,809249852,809249852@qq.com,秦岭路28号2-206,14
